Microns	Transmission
1.400	5.119E-06
1.401	5.005E-06
1.402	4.639E-06
1.403	5.153E-06
1.404	5.704E-06
1.405	4.975E-06
1.406	5.843E-06
1.407	6.060E-06
1.408	4.007E-06
1.409	5.018E-06
1.410	4.639E-06
1.411	5.098E-06
1.412	5.908E-06
1.413	4.590E-06
1.414	4.373E-06
1.415	5.607E-06
1.416	5.576E-06
1.417	5.167E-06
1.418	5.580E-06
1.419	5.030E-06
1.420	6.422E-06
1.421	5.666E-06
1.422	5.862E-06
1.423	4.359E-06
1.424	4.493E-06
1.425	4.860E-06
1.426	5.890E-06
1.427	6.371E-06
1.428	4.769E-06
1.429	4.760E-06
1.430	5.297E-06
1.431	4.912E-06
1.432	5.051E-06
1.433	4.212E-06
1.434	4.893E-06
1.435	5.330E-06
1.436	6.191E-06
1.437	5.415E-06
1.438	4.421E-06
1.439	4.904E-06
1.440	6.306E-06
1.441	4.814E-06
1.442	4.764E-06
1.443	5.820E-06
1.444	4.050E-06
1.445	6.055E-06
1.446	5.054E-06
1.447	5.173E-06
1.448	5.704E-06
1.449	4.329E-06
1.450	4.434E-06
1.451	4.926E-06
1.452	5.501E-06
1.453	5.604E-06
1.454	6.000E-06
1.455	5.252E-06
1.456	5.101E-06
1.457	4.954E-06
1.458	5.102E-06
1.459	4.429E-06
1.460	5.182E-06
1.461	5.730E-06
1.462	5.177E-06
1.463	6.036E-06
1.464	5.253E-06
1.465	5.212E-06
1.466	4.656E-06
1.467	4.139E-06
1.468	5.025E-06
1.469	5.886E-06
1.470	6.074E-06
1.471	5.730E-06
1.472	6.815E-06
1.473	5.931E-06
1.474	6.740E-06
1.475	6.382E-06
1.476	6.544E-06
1.477	5.499E-06
1.478	6.510E-06
1.479	5.269E-06
1.480	5.612E-06
1.481	5.808E-06
1.482	5.695E-06
1.483	4.970E-06
1.484	4.615E-06
1.485	4.875E-06
1.486	5.723E-06
1.487	5.188E-06
1.488	6.716E-06
1.489	4.608E-06
1.490	4.718E-06
1.491	5.915E-06
1.492	6.196E-06
1.493	4.781E-06
1.494	4.935E-06
1.495	6.041E-06
1.496	5.715E-06
1.497	5.679E-06
1.498	6.317E-06
1.499	5.692E-06
1.500	6.233E-06
1.501	5.903E-06
1.502	6.355E-06
1.503	6.503E-06
1.504	6.155E-06
1.505	5.962E-06
1.506	5.066E-06
1.507	4.856E-06
1.508	6.276E-06
1.509	5.841E-06
1.510	5.652E-06
1.511	6.861E-06
1.512	5.136E-06
1.513	4.882E-06
1.514	5.864E-06
1.515	5.566E-06
1.516	7.309E-06
1.517	5.972E-06
1.518	6.835E-06
1.519	6.967E-06
1.520	5.955E-06
1.521	6.332E-06
1.522	5.503E-06
1.523	5.924E-06
1.524	6.048E-06
1.525	6.846E-06
1.526	6.980E-06
1.527	8.240E-06
1.528	6.316E-06
1.529	7.001E-06
1.530	6.499E-06
1.531	6.469E-06
1.532	4.573E-06
1.533	6.491E-06
1.534	6.110E-06
1.535	5.952E-06
1.536	6.084E-06
1.537	6.066E-06
1.538	4.625E-06
1.539	6.333E-06
1.540	5.880E-06
1.541	6.548E-06
1.542	6.412E-06
1.543	5.934E-06
1.544	6.639E-06
1.545	7.283E-06
1.546	6.759E-06
1.547	6.167E-06
1.548	4.461E-06
1.549	7.481E-06
1.550	7.586E-06
1.551	6.678E-06
1.552	6.227E-06
1.553	6.846E-06
1.554	6.136E-06
1.555	8.181E-06
1.556	6.776E-06
1.557	6.578E-06
1.558	7.245E-06
1.559	7.694E-06
1.560	7.653E-06
1.561	6.720E-06
1.562	7.353E-06
1.563	6.178E-06
1.564	6.816E-06
1.565	7.605E-06
1.566	4.742E-06
1.567	7.358E-06
1.568	5.592E-06
1.569	6.064E-06
1.570	5.980E-06
1.571	8.148E-06
1.572	6.936E-06
1.573	7.064E-06
1.574	5.938E-06
1.575	6.804E-06
1.576	6.924E-06
1.577	5.264E-06
1.578	7.824E-06
1.579	7.595E-06
1.580	7.290E-06
1.581	5.711E-06
1.582	6.218E-06
1.583	8.708E-06
1.584	7.727E-06
1.585	5.621E-06
1.586	7.665E-06
1.587	5.567E-06
1.588	7.606E-06
1.589	6.133E-06
1.590	7.433E-06
1.591	8.486E-06
1.592	6.673E-06
1.593	4.901E-06
1.594	8.659E-06
1.595	6.188E-06
1.596	7.279E-06
1.597	8.832E-06
1.598	7.883E-06
1.599	6.054E-06
