Microns	Transmission
1.290	1.279E-03
1.291	1.484E-03
1.292	1.733E-03
1.293	2.031E-03
1.294	2.386E-03
1.295	2.822E-03
1.296	3.350E-03
1.297	4.004E-03
1.298	4.808E-03
1.299	5.799E-03
1.300	7.025E-03
1.301	8.531E-03
1.302	1.041E-02
1.303	1.270E-02
1.304	1.544E-02
1.305	1.855E-02
1.306	2.166E-02
1.307	2.416E-02
1.308	2.643E-02
1.309	2.891E-02
1.310	3.195E-02
1.311	3.520E-02
1.312	3.908E-02
1.313	4.366E-02
1.314	4.942E-02
1.315	5.539E-02
1.316	6.272E-02
1.317	7.098E-02
1.318	8.202E-02
1.319	9.544E-02
1.320	1.124E-01
1.321	1.320E-01
1.322	1.555E-01
1.323	1.822E-01
1.324	2.141E-01
1.325	2.489E-01
1.326	2.892E-01
1.327	3.336E-01
1.328	3.846E-01
1.329	4.399E-01
1.330	4.990E-01
1.331	5.588E-01
1.332	6.175E-01
1.333	6.738E-01
1.334	7.263E-01
1.335	7.720E-01
1.336	8.107E-01
1.337	8.423E-01
1.338	8.684E-01
1.339	8.872E-01
1.340	8.997E-01
1.341	9.079E-01
1.342	9.136E-01
1.343	9.193E-01
1.344	9.220E-01
1.345	9.249E-01
1.346	9.259E-01
1.347	9.286E-01
1.348	9.306E-01
1.349	9.327E-01
1.350	9.353E-01
1.351	9.364E-01
1.352	9.371E-01
1.353	9.380E-01
1.354	9.385E-01
1.355	9.392E-01
1.356	9.376E-01
1.357	9.366E-01
1.358	9.350E-01
1.359	9.334E-01
1.360	9.315E-01
1.361	9.288E-01
1.362	9.266E-01
1.363	9.238E-01
1.364	9.235E-01
1.365	9.238E-01
1.366	9.242E-01
1.367	9.232E-01
1.368	9.216E-01
1.369	9.216E-01
1.370	9.220E-01
1.371	9.219E-01
1.372	9.211E-01
1.373	9.189E-01
1.374	9.173E-01
1.375	9.169E-01
1.376	9.166E-01
1.377	9.167E-01
1.378	9.162E-01
1.379	9.161E-01
1.380	9.147E-01
1.381	9.128E-01
1.382	9.127E-01
1.383	9.130E-01
1.384	9.125E-01
1.385	9.114E-01
1.386	9.106E-01
1.387	9.097E-01
1.388	9.084E-01
1.389	9.084E-01
1.390	9.101E-01
1.391	9.104E-01
1.392	9.111E-01
1.393	9.111E-01
1.394	9.136E-01
1.395	9.147E-01
1.396	9.168E-01
1.397	9.185E-01
1.398	9.206E-01
1.399	9.213E-01
1.400	9.230E-01
1.401	9.246E-01
1.402	9.272E-01
1.403	9.292E-01
1.404	9.317E-01
1.405	9.347E-01
1.406	9.357E-01
1.407	9.366E-01
1.408	9.366E-01
1.409	9.379E-01
1.410	9.383E-01
1.411	9.404E-01
1.412	9.414E-01
1.413	9.440E-01
1.414	9.448E-01
1.415	9.460E-01
1.416	9.466E-01
1.417	9.461E-01
1.418	9.472E-01
1.419	9.476E-01
1.420	9.493E-01
1.421	9.484E-01
1.422	9.493E-01
