Microns	Tranmission
1.190	9.028E-01
1.191	8.973E-01
1.192	8.886E-01
1.193	8.864E-01
1.194	8.845E-01
1.195	8.826E-01
1.196	8.798E-01
1.197	8.797E-01
1.198	8.801E-01
1.199	8.817E-01
1.200	8.818E-01
1.201	8.828E-01
1.202	8.843E-01
1.203	8.821E-01
1.204	8.835E-01
1.205	8.824E-01
1.206	8.848E-01
1.207	8.858E-01
1.208	8.862E-01
1.209	8.871E-01
1.210	8.855E-01
1.211	8.873E-01
1.212	8.851E-01
1.213	8.852E-01
1.214	8.832E-01
1.215	8.836E-01
1.216	8.837E-01
1.217	8.804E-01
1.218	8.829E-01
1.219	8.833E-01
1.220	8.864E-01
1.221	8.902E-01
1.222	8.939E-01
1.223	8.992E-01
1.224	8.999E-01
1.225	9.040E-01
1.226	9.086E-01
1.227	9.147E-01
1.228	9.195E-01
1.229	9.232E-01
1.230	9.263E-01
1.231	9.269E-01
1.232	9.289E-01
1.233	9.294E-01
1.234	9.326E-01
1.235	9.325E-01
1.236	9.315E-01
1.237	9.304E-01
1.238	9.302E-01
1.239	9.303E-01
1.240	9.317E-01
1.241	9.329E-01
1.242	9.370E-01
1.243	9.387E-01
1.244	9.417E-01
1.245	9.438E-01
1.246	9.445E-01
1.247	9.457E-01
1.248	9.480E-01
1.249	9.515E-01
1.250	9.556E-01
1.251	9.598E-01
1.252	9.631E-01
1.253	9.662E-01
1.254	9.685E-01
1.255	9.703E-01
1.256	9.714E-01
1.257	9.717E-01
1.258	9.707E-01
1.259	9.692E-01
1.260	9.675E-01
1.261	9.667E-01
1.262	9.649E-01
1.263	9.648E-01
1.264	9.653E-01
1.265	9.653E-01
1.266	9.619E-01
1.267	9.617E-01
1.268	9.623E-01
1.269	9.640E-01
1.270	9.598E-01
1.271	9.538E-01
1.272	9.430E-01
1.273	9.327E-01
1.274	9.122E-01
1.275	8.851E-01
1.276	8.431E-01
1.277	7.936E-01
1.278	7.318E-01
1.279	6.639E-01
1.280	5.919E-01
1.281	5.191E-01
1.282	4.495E-01
1.283	3.841E-01
1.284	3.263E-01
1.285	2.763E-01
1.286	2.342E-01
1.287	2.002E-01
1.288	1.707E-01
1.289	1.472E-01
1.290	1.268E-01
1.291	1.109E-01
1.292	9.677E-02
1.293	8.601E-02
1.294	7.588E-02
1.295	6.797E-02
1.296	5.971E-02
1.297	5.145E-02
1.298	4.258E-02
1.299	3.441E-02
1.300	2.767E-02
1.301	2.211E-02
1.302	1.773E-02
1.303	1.421E-02
1.304	1.150E-02
1.305	9.291E-03
1.306	7.493E-03
1.307	6.100E-03
1.308	4.992E-03
1.309	4.119E-03
1.310	3.425E-03
1.311	2.860E-03
1.312	2.400E-03
1.313	2.021E-03
1.314	1.706E-03
1.315	1.449E-03
1.316	1.228E-03
1.317	1.049E-03
1.318	8.964E-04
1.319	7.691E-04
1.320	6.581E-04
1.321	5.692E-04
1.322	4.932E-04
1.323	4.309E-04
1.324	3.738E-04
1.325	3.250E-04
1.326	2.862E-04
1.327	2.502E-04
1.328	2.212E-04
1.329	1.931E-04
1.330	1.727E-04
1.331	1.539E-04
1.332	1.378E-04
1.333	1.238E-04
1.334	1.121E-04
1.335	1.003E-04
1.336	8.960E-05
1.337	8.086E-05
1.338	7.360E-05
1.339	6.786E-05
1.340	6.193E-05
1.341	5.680E-05
1.342	5.103E-05
1.343	4.713E-05
1.344	4.457E-05
1.345	4.152E-05
1.346	3.738E-05
1.347	3.542E-05
1.348	3.285E-05
1.349	3.156E-05
1.350	2.748E-05
1.351	2.551E-05
1.352	2.428E-05
1.353	2.352E-05
1.354	2.161E-05
1.355	1.980E-05
1.356	1.845E-05
1.357	1.810E-05
1.358	1.630E-05
1.359	1.459E-05
1.360	1.372E-05
1.361	1.363E-05
1.362	1.313E-05
1.363	1.211E-05
1.364	1.122E-05
1.365	1.145E-05
1.366	1.084E-05
1.367	1.040E-05
1.368	1.073E-05
1.369	1.144E-05
1.370	1.098E-05
1.371	1.003E-05
1.372	1.175E-05
1.373	1.028E-05
1.374	1.003E-05
1.375	6.641E-06
1.376	8.115E-06
1.377	7.983E-06
1.378	9.768E-06
1.379	9.680E-06
1.380	8.935E-06
1.381	8.466E-06
1.382	8.007E-06
1.383	7.625E-06
1.384	7.312E-06
1.385	7.342E-06
1.386	7.477E-06
1.387	6.751E-06
1.388	6.478E-06
1.389	5.865E-06
1.390	5.397E-06
1.391	5.966E-06
1.392	7.045E-06
1.393	6.850E-06
1.394	6.406E-06
1.395	6.440E-06
1.396	5.289E-06
1.397	5.243E-06
1.398	5.648E-06
1.399	7.140E-06
1.400	7.701E-06
1.401	7.202E-06
1.402	6.951E-06
1.403	7.046E-06
1.404	7.134E-06
1.405	8.185E-06
1.406	7.616E-06
1.407	7.569E-06
1.408	7.410E-06
1.409	7.589E-06
1.410	7.524E-06
1.411	7.446E-06
1.412	7.843E-06
1.413	7.652E-06
1.414	6.723E-06
1.415	7.526E-06
1.416	6.854E-06
1.417	7.628E-06
1.418	7.903E-06
1.419	8.429E-06
1.420	8.556E-06
1.421	7.484E-06
1.422	8.366E-06
1.423	8.112E-06
1.424	7.901E-06
1.425	6.938E-06
1.426	6.564E-06
1.427	6.202E-06
1.428	6.672E-06
1.429	6.638E-06
1.430	6.590E-06
1.431	7.248E-06
1.432	7.247E-06
1.433	6.715E-06
1.434	5.678E-06
1.435	5.866E-06
1.436	6.968E-06
1.437	6.379E-06
1.438	6.909E-06
1.439	6.217E-06
1.440	7.651E-06
1.441	7.117E-06
1.442	7.736E-06
1.443	6.020E-06
1.444	7.404E-06
1.445	6.095E-06
1.446	6.336E-06
1.447	4.855E-06
1.448	5.869E-06
1.449	4.771E-06
1.450	4.461E-06
1.451	4.152E-06
1.452	5.909E-06
1.453	6.614E-06
1.454	5.608E-06
1.455	5.336E-06
