6.1   6.1   6.1   6.32  6.1   6.39  6.17  6.24  6.1 
6.1   6.39  6.1   6.1   6.03  6.17  6.17  6.1   6.03
6.24  6.17  6.24  6.17  6.17  6.03  6.32  6.03  6.03
6.17  6.17  6.1   6.1   6.24  6.32  6.1   6.46  6.24
6.03  6.54  6.03  6.03  6.32  6.46  6.46  6.32  6.77
6.32  6.69  6.39  6.69  7.33  6.32  7.08  6.77  6.84
7.    6.24  6.24  6.61  6.69  7.    6.39  6.46  6.46
6.61  6.39  6.69  6.1   6.32  6.54  6.77  7.49  6.84
6.92  6.46  7.75  6.46  6.54  6.24  7.08  6.84  6.1 
6.54  7.    6.24  6.92  7.    6.46  6.84  6.39  6.32
6.84  7.75  7.93  7.08  7.49  7.75  7.93  7.49  7.33
7.49  7.16  7.49  7.49  7.58  7.84  7.49  8.29  8.11
8.02  8.2   8.29  7.66  7.75  0.0   0.0   0.0   0.0
