35.5294 1573.9412 7.6248 7.4900
44.9167 1584.4667 39.1459 7.4900
234.3333 1806.1667 3.4166 7.1600
391.4773 1849.2500 33.2884 7.5800
401.5000 1861.5000 4.3636 7.8400
401.6000 1889.8000 3.4392 7.7500
447.8824 1748.1176 21.4465 7.4900
547.1429 2095.2857 5.3556 7.4900
550.3333 1405.3333 1.1676 7.0800
552.6667 1407.6667 2.4028 7.0800
1010.8462 280.2308 8.0640 7.6600
1144.5417 1968.0833 15.2449 7.0800
1187.7205 1033.7205 91.2340 7.4900
1230.2857 898.1429 4.2745 7.9300
1348.8353 1204.1294 79.3383 7.4900
1496.7000 2424.0000 15.8213 8.2900
1552.8333 2565.8333 2.4553 7.7500
1571.8077 2322.1154 18.0459 8.0200
1608.0000 2299.1250 8.9225 8.1100
1610.5000 2304.5000 1.5931 8.1100
1700.7222 221.6389 26.7582 7.3300
1806.6667 201.3333 2.5483 7.6600
1819.5000 211.5000 1.9702 7.2400
1819.5000 211.5000 1.9702 7.4100
2535.3077 1327.5385 7.5760 7.4900
2604.6250 1416.2500 10.9876 7.2400
2604.6250 1416.2500 10.9876 7.4900
